日期時間,股票代號,股票名稱,觸發價格,核心訊號,技術與量能,T+1 報酬率(%),T+3 報酬率(%),T+5 報酬率(%)
2026-05-25 13:24:22,2486,一銓,297.5,表面型態：⚡【量能爆發突破】,RSI 指標：46.8 | 成交量比：1.37x (9023.2張/6565.8張),-2.86,0.0,0.0
2026-05-25 13:24:26,1802,台玻,74.0,表面型態：⚡【量能爆發突破】,RSI 指標：52.46 | 成交量比：1.84x (171903.5張/93298.6張),-2.43,0.0,0.0
2026-05-25 13:24:29,3714,富采,79.4000015258789,表面型態：⚡【量能爆發突破】,RSI 指標：56.45 | 成交量比：1.85x (84547.1張/45674.2張),0.0,0.0,0.0
2026-05-25 13:24:31,2409,友達,24.399999618530277,表面型態：💎【大戶惜售 / 籌碼鎖定】,RSI 指標：77.64 | 成交量比：0.35x (80968.3張/229648.5張),-9.84,0.0,0.0
2026-05-25 13:24:34,7828,創新服務,1280.0,表面型態：⚡【量能爆發突破】,RSI 指標：50.28 | 成交量比：1.32x (430.4張/326.7張),0.0,0.0,0.0
2026-05-25 13:24:37,6282,康舒,63.09999847412109,表面型態：⚡【量能爆發突破】,RSI 指標：74.91 | 成交量比：1.69x (83279.3張/49416.5張),-1.11,0.0,0.0
2026-05-25 13:24:41,2457,飛宏,27.0,表面型態：⚡【量能爆發突破】,RSI 指標：57.14 | 成交量比：1.59x (5111.6張/3214.6張),-3.89,0.0,0.0
2026-05-25 13:24:43,6770,力積電,67.5999984741211,表面型態：⚡【量能爆發突破】,RSI 指標：69.55 | 成交量比：1.77x (294167.0張/166545.9張),4.73,0.0,0.0
2026-05-25 13:24:49,6207,雷柯,98.8000030517578,表面型態：💎【大戶惜售 / 籌碼鎖定】,RSI 指標：80.16 | 成交量比：0.36x (9978.6張/27377.1張),0.0,0.0,0.0
2026-05-25 17:12:47,5297,廣化,136.0,表面型態：⚡【量能爆發突破】,RSI 指標：36.42 | 成交量比：1.31x (1616.4張/1236.7張),0.0,0.0,0.0
2026-05-25 17:12:49,7853,政美應用,389.5,表面型態：⚡【量能爆發突破】,RSI 指標：49.9 | 成交量比：1.34x (1197.7張/891.2張),0.0,0.0,0.0
2026-05-25 17:12:51,3595,山太士,2820.0,表面型態：💎【大戶惜售 / 籌碼鎖定】,RSI 指標：58.6 | 成交量比：0.66x (350.5張/534.7張),0.0,0.0,0.0
2026-05-25 17:12:52,3450,聯鈞,501.0,表面型態：⚡【量能爆發突破】,RSI 指標：68.68 | 成交量比：1.67x (4906.0張/2933.2張),5.79,0.0,0.0
2026-05-25 17:12:55,3363,上詮,846.0,表面型態：⚡【量能爆發突破】,RSI 指標：47.39 | 成交量比：1.57x (4124.2張/2620.8張),0.0,0.0,0.0
2026-05-25 17:12:56,6442,光聖,2060.0,表面型態：⚡【量能爆發突破】,RSI 指標：50.0 | 成交量比：1.69x (5248.5張/3105.9張),9.95,0.0,0.0
